date	2018	2019	2020
2020-08-11	2333640	2647278	2640898
2020-08-12	2555646	2700790	2626224
2020-08-13	2728317	2485824	2465775
2020-08-14	2755325	2397321	2654223
2020-08-15	2754131	2418193	2698542
2020-08-16	2539426	2368474	2638914
2020-08-17	2725500	2399839	2708244
2020-08-18	2634768	2589781	2775391
2020-08-19	2744230	2576580	2653219
2020-08-20	3038501	2601696	2549678
2020-08-21	2994740	2596952	2357647
2020-08-22	2998313	2536399	2479811
2020-08-23	2944082	2548007	2766280
2020-08-24	2772543	2595270	2563086
2020-08-25	2721692	2739359	2651955
2020-08-26	2956524	2586001	2641508
2020-08-27	2752662	2492629	2511245
2020-08-28	2584268	2542096	2634424
2020-08-29	2631326	2499193	2765759
2020-08-30	2780195	2535523	2941504
2020-08-31	2811201	2353849	2708292
2020-09-01	2840937	2687283	2838053
2020-09-02	2735224	2638639	2523239
2020-09-03	2761812	2450172	2584302
2020-09-04	2896103	2399803	2625997
2020-09-05	2795240	2470105	2505176
2020-09-06	2760416	2322109	2889934
2020-09-07	2689784	2684416	2942285
2020-09-08	2753248	2716646	2796058
2020-09-09	2752928	2709847	2888614
2020-09-10	2798772	2575670	2745311
2020-09-11	3007084	2666305	2613562
2020-09-12	3003804	2699581	2719395
2020-09-13	2930200	2562501	2949667
2020-09-14	2830423	2348899	3006555
2020-09-15	2501645	2642846	3020197
2020-09-16	2704121	2724045	2939378
2020-09-17	2747675	2882807	2819205
2020-09-18	2822612	2678046	2630357
2020-09-19	2932528	2707676	2533596
2020-09-20	2760177	2477891	2841560
2020-09-21	2653044	2505520	2979237
2020-09-22	2865020	2846967	2715591
2020-09-23	3285781	3011363	2843337
2020-09-24	3243379	3041159	3043044
2020-09-25	2996585	2908091	2733794
2020-09-26	2886428	2835702	2973588
2020-09-27	2602088	2603544	3640583
2020-09-28	2603961	2892392	3547162
2020-09-29	2733135	2935734	3346136
2020-09-30	3141507	3043929	3072297
2020-10-01	3454998	2904645	2876640
2020-10-02	3060902	3349536	2816517
2020-10-03	2934658	3013141	2896715
2020-10-04	2813694	2754891	3181460
2020-10-05	2768997	2854619	3718244
2020-10-06	2775252	2987056	3379689
2020-10-07	3115702	2994163	3477484
2020-10-08	3186273	3047323	3345211
2020-10-09	3178883	3166279	3029618
2020-10-10	3162540	3030097	3047268
2020-10-11	3039985	3039028	3322831
2020-10-12	2670888	2777334	3788856
2020-10-13	2702952	3081573	3780972
2020-10-14	3261170	3216935	4239973
2020-10-15	3226142	3109370	4083831
2020-10-16	3252645	3124423	3886978
2020-10-17	3219892	2973779	3375747
2020-10-18	3402850	2787800	3549610
2020-10-19	2862508	2752642	4154337
2020-10-20	2772413	3003057	4079626
2020-10-21	3158844	3175615	3967095
2020-10-22	3235127	3225189	4021753
2020-10-23	3496344	3136930	3837385
2020-10-24	3383328	3057791	3285908
2020-10-25	3334291	2813639	3385492
2020-10-26	3147937	3441058	3263564
2020-10-27	2966654	3063661	3252959
2020-10-28	3368697	3354766	3495192
2020-10-29	3035533	3123523	3331946
2020-10-30	3175912	3078759	3371947
2020-10-31	3158635	2984275	3540548
2020-11-01	3119570	3240274	3949141
2020-11-02	3074865	3085525	4204832
2020-11-03	3119353	3419189	4400394
2020-11-04	3485274	3501395	4573458
2020-11-05	3459704	3368872	4415592
2020-11-06	3578889	3280798	3955323
2020-11-07	3669078	3228568	3468960
2020-11-08	3714209	2934368	4003885
2020-11-09	3395132	3108841	4402247
2020-11-10	3283554	3387811	4426981
2020-11-11	3414638	3262567	4619146
2020-11-12	3444730	3384786	4648118
2020-11-13	3679957	3355480	4284314
2020-11-14	4511847	3367319	3543980
2020-11-15	3991337	3007701	4057304
2020-11-16	3377178	3084525	4291445
2020-11-17	2996557	3600489	4127041
2020-11-18	3250469	3596787	4405935
2020-11-19	3207488	3485961	4537797
2020-11-20	3250928	3311748	4152954
2020-11-21	3239558	3070502	3610940
2020-11-22	3295944	2923932	3961294
2020-11-23	2960932	3071289	4378932
2020-11-24	2888022	3574930	4359850
2020-11-25	3316186	3561476	4265580
2020-11-26	3392322	3384941	4179456
2020-11-27	3332391	3283072	3833911
2020-11-28	3328175	3130933	3500488
2020-11-29	3392125	2858012	3853289
2020-11-30	2978292	3033015	4018664
