date	unique_page_creators
2018-08-07	48
2018-08-08	48
2018-08-09	35
2018-08-10	43
2018-08-11	37
2018-08-12	39
2018-08-13	48
2018-08-14	56
2018-08-15	50
2018-08-16	46
2018-08-17	51
2018-08-18	37
2018-08-19	50
2018-08-20	41
2018-08-21	53
2018-08-22	46
2018-08-23	43
2018-08-24	68
2018-08-25	48
2018-08-26	40
2018-08-27	67
2018-08-28	46
2018-08-29	66
2018-08-30	65
2018-08-31	58
2018-09-01	61
2018-09-02	57
2018-09-03	48
2018-09-04	47
2018-09-05	58
2018-09-06	58
2018-09-07	61
2018-09-08	57
2018-09-09	45
2018-09-10	51
2018-09-11	56
2018-09-12	52
2018-09-13	42
2018-09-14	41
2018-09-15	44
2018-09-16	46
2018-09-17	46
2018-09-18	57
2018-09-19	41
2018-09-20	55
2018-09-21	59
2018-09-22	45
2018-09-23	52
2018-09-24	56
2018-09-25	45
2018-09-26	53
2018-09-27	53
2018-09-28	28
2018-09-29	37
2018-09-30	50
2018-10-01	52
2018-10-02	60
2018-10-03	69
2018-10-04	48
2018-10-05	47
2018-10-06	38
2018-10-07	39
2018-10-08	51
2018-10-09	54
2018-10-10	55
2018-10-11	56
2018-10-12	53
2018-10-13	52
2018-10-14	41
2018-10-15	59
2018-10-16	56
2018-10-17	62
2018-10-18	52
2018-10-19	57
2018-10-20	40
2018-10-21	51
2018-10-22	77
2018-10-23	60
2018-10-24	57
2018-10-25	51
2018-10-26	60
2018-10-27	43
2018-10-28	49
2018-10-29	68
2018-10-30	55
2018-10-31	62
2018-11-01	52
2018-11-02	51
2018-11-03	66
2018-11-04	61
2018-11-05	56
2018-11-06	56
2018-11-07	62
2018-11-08	61
2018-11-09	59
2018-11-10	54
2018-11-11	52
2018-11-12	55
2018-11-13	56
2018-11-14	67
2018-11-15	57
2018-11-16	62
2018-11-17	51
2018-11-18	65
2018-11-19	86
2018-11-20	51
2018-11-21	68
2018-11-22	60
2018-11-23	65
2018-11-24	55
2018-11-25	63
2018-11-26	76
2018-11-27	73
2018-11-28	72
2018-11-29	78
2018-11-30	66
2018-12-01	46
2018-12-02	70
2018-12-03	56
2018-12-04	53
2018-12-05	63
2018-12-06	61
2018-12-07	68
2018-12-08	46
2018-12-09	58
2018-12-10	60
2018-12-11	47
2018-12-12	59
2018-12-13	60
2018-12-14	58
2018-12-15	61
2018-12-16	58
2018-12-17	54
2018-12-18	49
2018-12-19	63
2018-12-20	54
2018-12-21	66
2018-12-22	41
2018-12-23	66
2018-12-24	39
2018-12-25	43
2018-12-26	65
2018-12-27	50
2018-12-28	63
2018-12-29	64
2018-12-30	54
2018-12-31	41
