date	views_2019	views_2020
2020-10-12	2777334	3788856
2020-10-13	3081573	3780972
2020-10-14	3216935	4239973
2020-10-15	3109370	4083831
2020-10-16	3124423	3886978
2020-10-17	2973779	3375747
2020-10-18	2787800	3549610
2020-10-19	2752642	4154337
2020-10-20	3003057	4079626
2020-10-21	3175615	3967095
2020-10-22	3225189	4021753
2020-10-23	3136930	3837385
2020-10-24	3057791	3285908
2020-10-25	2813639	3385492
2020-10-26	3441058	3263564
2020-10-27	3063661	3252959
2020-10-28	3354766	3495192
2020-10-29	3123523	3331946
2020-10-30	3078759	3371947
2020-10-31	2984275	3540548
2020-11-01	3240274	3949141
2020-11-02	3085525	4204832
2020-11-03	3419189	4400394
2020-11-04	3501395	4573458
2020-11-05	3368872	4415592
2020-11-06	3280798	3955323
2020-11-07	3228568	3468960
2020-11-08	2934368	4003885
2020-11-09	3108841	4402247
2020-11-10	3387811	4426981
2020-11-11	3262567	4619146
2020-11-12	3384786	4648118
2020-11-13	3355480	4284314
2020-11-14	3367319	3543980
2020-11-15	3007701	4057304
2020-11-16	3084525	4291445
2020-11-17	3600489	4127041
2020-11-18	3596787	4405935
2020-11-19	3485961	4537797
2020-11-20	3311748	4152954
2020-11-21	3070502	3610940
2020-11-22	2923932	3961294
2020-11-23	3071289	4378932
2020-11-24	3574930	4359850
2020-11-25	3561476	4265580
2020-11-26	3384941	4179456
2020-11-27	3283072	3833911
2020-11-28	3130933	3500488
2020-11-29	2858012	3853289
2020-11-30	3033015	4018664
2020-12-01	3193266	4082168
2020-12-02	3281168	3844330
2020-12-03	3460136	3603899
2020-12-04	3457006	3391471
2020-12-05	3090194	3243220
2020-12-06	2996738	3678339
2020-12-07	2989073	3812513
2020-12-08	3131312	3729300
2020-12-09	3479158	3543099
2020-12-10	3468070	3858580
2020-12-11	3465405	3441316
2020-12-12	3171023	3265003
2020-12-13	2913945	3718917
2020-12-14	3022626	3523073
2020-12-15	3546959	3440408
2020-12-16	3347273	3455207
2020-12-17	3131692	3262843
2020-12-18	3044191	3063891
2020-12-19	2692758	2893628
2020-12-20	2364531	3351308
2020-12-21	2581726	2975948
2020-12-22	2710176	2915514
2020-12-23	2641775	2692759
2020-12-24	2581478	2866375
2020-12-25	3228301	3319619
2020-12-26	3100612	3355453
2020-12-27	2905857	3405288
2020-12-28	3288338	3370703
2020-12-29	3528621	3336753
2020-12-30	3244038	3412114
2020-12-31	3100201	3275559
