date	unique_page_creators
2019-08-20	58
2019-08-21	53
2019-08-22	56
2019-08-23	63
2019-08-24	45
2019-08-25	48
2019-08-26	68
2019-08-27	63
2019-08-28	58
2019-08-29	65
2019-08-30	73
2019-08-31	60
2019-09-01	53
2019-09-02	65
2019-09-03	58
2019-09-04	62
2019-09-05	57
2019-09-06	50
2019-09-07	58
2019-09-08	63
2019-09-09	62
2019-09-10	57
2019-09-11	56
2019-09-12	65
2019-09-13	50
2019-09-14	50
2019-09-15	51
2019-09-16	66
2019-09-17	48
2019-09-18	54
2019-09-19	66
2019-09-20	70
2019-09-21	60
2019-09-22	62
2019-09-23	72
2019-09-24	63
2019-09-25	60
2019-09-26	69
2019-09-27	67
2019-09-28	50
2019-09-29	69
2019-09-30	66
2019-10-01	63
2019-10-02	74
2019-10-03	65
2019-10-04	59
2019-10-05	59
2019-10-06	60
2019-10-07	79
2019-10-08	68
2019-10-09	74
2019-10-10	71
2019-10-11	60
2019-10-12	45
2019-10-13	61
2019-10-14	66
2019-10-15	66
2019-10-16	71
2019-10-17	54
2019-10-18	62
2019-10-19	56
2019-10-20	56
2019-10-21	76
2019-10-22	77
2019-10-23	61
2019-10-24	62
2019-10-25	64
2019-10-26	52
2019-10-27	47
2019-10-28	59
2019-10-29	45
2019-10-30	59
2019-10-31	80
2019-11-01	60
2019-11-02	70
2019-11-03	60
2019-11-04	70
2019-11-05	60
2019-11-06	79
2019-11-07	65
2019-11-08	66
2019-11-09	51
2019-11-10	55
2019-11-11	82
2019-11-12	78
2019-11-13	67
2019-11-14	64
2019-11-15	68
2019-11-16	62
2019-11-17	70
2019-11-18	78
2019-11-19	83
2019-11-20	68
2019-11-21	58
2019-11-22	82
2019-11-23	54
2019-11-24	66
2019-11-25	74
2019-11-26	87
2019-11-27	86
2019-11-28	72
2019-11-29	91
2019-11-30	77
2019-12-01	78
2019-12-02	85
2019-12-03	65
2019-12-04	69
2019-12-05	70
2019-12-06	57
2019-12-07	65
2019-12-08	69
2019-12-09	91
2019-12-10	76
2019-12-11	66
2019-12-12	66
2019-12-13	60
2019-12-14	66
2019-12-15	60
2019-12-16	91
2019-12-17	69
2019-12-18	73
2019-12-19	80
2019-12-20	62
2019-12-21	67
2019-12-22	64
2019-12-23	66
2019-12-24	35
2019-12-25	57
2019-12-26	58
2019-12-27	64
2019-12-28	81
2019-12-29	70
2019-12-30	69
2019-12-31	59
