date	experienced	newcomer
2019-05-21	2026	69
2019-05-22	2040	77
2019-05-23	1785	76
2019-05-24	1461	76
2019-05-25	1387	96
2019-05-26	1867	108
2019-05-27	2195	100
2019-05-28	2069	96
2019-05-29	1845	97
2019-05-30	1882	109
2019-05-31	1784	62
2019-06-01	1802	37
2019-06-02	1866	51
2019-06-03	2010	54
2019-06-04	2343	78
2019-06-05	2018	36
2019-06-06	2028	82
2019-06-07	2192	47
2019-06-08	1472	27
2019-06-09	1764	69
2019-06-10	1967	66
2019-06-11	1704	44
2019-06-12	1552	39
2019-06-13	1506	64
2019-06-14	1546	44
2019-06-15	1343	55
2019-06-16	1522	49
2019-06-17	1831	75
2019-06-18	1630	58
2019-06-19	1525	52
2019-06-20	1436	63
2019-06-21	1370	77
2019-06-22	1319	65
2019-06-23	1544	77
2019-06-24	1672	64
2019-06-25	1372	39
2019-06-26	1513	53
2019-06-27	1710	85
2019-06-28	1244	65
2019-06-29	1353	57
2019-06-30	1245	67
2019-07-01	1412	51
2019-07-02	1403	44
2019-07-03	1379	32
2019-07-04	1100	31
2019-07-05	1339	54
2019-07-06	1258	34
2019-07-07	1641	47
2019-07-08	1894	61
2019-07-09	1602	49
2019-07-10	1828	44
2019-07-11	1839	54
2019-07-12	1694	33
2019-07-13	1570	41
2019-07-14	1370	37
2019-07-15	1541	38
2019-07-16	1384	70
2019-07-17	1467	37
2019-07-18	1403	58
2019-07-19	1486	73
2019-07-20	1658	34
2019-07-21	1536	47
2019-07-22	2034	96
2019-07-23	1444	83
2019-07-24	1592	115
2019-07-25	1827	83
2019-07-26	1738	58
2019-07-27	1245	59
2019-07-28	1458	45
2019-07-29	1604	111
2019-07-30	1619	99
2019-07-31	1603	71
2019-08-01	1427	48
2019-08-02	1268	58
2019-08-03	1433	40
2019-08-04	1784	27
2019-08-05	1808	47
2019-08-06	1892	51
2019-08-07	1816	44
2019-08-08	1518	48
2019-08-09	1433	43
2019-08-10	1432	14
2019-08-11	1380	47
2019-08-12	1438	39
2019-08-13	1268	25
2019-08-14	1181	60
2019-08-15	1337	51
2019-08-16	2257	62
2019-08-17	2211	43
2019-08-18	1227	53
2019-08-19	1520	61
2019-08-20	1665	45
2019-08-21	1504	67
2019-08-22	1738	121
2019-08-23	1797	97
2019-08-24	1401	67
2019-08-25	1326	61
2019-08-26	1381	70
2019-08-27	1836	52
2019-08-28	1632	102
2019-08-29	2158	89
2019-08-30	2329	27
2019-08-31	2175	20
2019-09-01	2354	49
2019-09-02	2329	59
2019-09-03	2201	39
2019-09-04	2316	47
2019-09-05	2213	64
2019-09-06	1312	39
2019-09-07	1753	44
2019-09-08	1683	79
2019-09-09	1629	73
2019-09-10	1517	96
2019-09-11	1737	64
2019-09-12	1475	87
2019-09-13	1406	86
2019-09-14	1367	63
2019-09-15	1465	47
2019-09-16	1960	62
2019-09-17	1795	29
2019-09-18	1440	34
2019-09-19	1861	59
2019-09-20	1938	46
2019-09-21	2078	25
2019-09-22	1371	50
2019-09-23	2140	75
2019-09-24	1598	53
2019-09-25	1684	46
2019-09-26	1743	64
2019-09-27	2154	78
2019-09-28	2008	41
2019-09-29	1904	60
2019-09-30	2072	84
2019-10-01	2452	82
2019-10-02	1962	116
2019-10-03	1719	157
2019-10-04	1855	48
2019-10-05	1722	78
2019-10-06	1590	84
2019-10-07	1858	97
2019-10-08	1887	93
2019-10-09	1475	150
2019-10-10	2103	90
2019-10-11	1751	85
2019-10-12	1590	81
2019-10-13	1701	127
2019-10-14	1922	68
2019-10-15	1852	62
2019-10-16	1812	71
2019-10-17	1509	65
2019-10-18	1564	84
2019-10-19	1362	74
2019-10-20	1467	67
2019-10-21	2214	51
2019-10-22	1698	94
2019-10-23	1877	84
2019-10-24	1682	61
2019-10-25	1552	114
2019-10-26	1305	65
2019-10-27	1448	68
2019-10-28	1873	44
2019-10-29	2160	72
2019-10-30	2090	95
2019-10-31	1823	120
2019-11-01	2047	83
2019-11-02	2236	71
2019-11-03	2915	139
2019-11-04	2751	125
2019-11-05	2316	135
2019-11-06	2051	79
2019-11-07	2285	84
2019-11-08	1968	77
2019-11-09	1689	84
2019-11-10	1903	63
2019-11-11	2599	60
2019-11-12	2297	185
2019-11-13	1977	70
2019-11-14	2033	80
2019-11-15	1965	87
2019-11-16	1555	92
2019-11-17	1909	73
2019-11-18	2282	93
2019-11-19	2116	114
2019-11-20	2214	173
2019-11-21	1969	92
2019-11-22	1968	111
2019-11-23	1589	86
2019-11-24	1921	148
2019-11-25	2016	92
2019-11-26	2072	163
2019-11-27	1821	163
2019-11-28	2021	129
2019-11-29	2305	156
2019-11-30	1662	140
2019-12-01	1733	211
2019-12-02	2385	148
2019-12-03	2255	116
2019-12-04	2095	107
2019-12-05	2470	71
2019-12-06	1568	105
2019-12-07	1845	112
2019-12-08	1823	93
2019-12-09	2067	98
2019-12-10	2158	96
2019-12-11	2123	73
2019-12-12	2060	92
2019-12-13	1771	87
2019-12-14	1762	66
2019-12-15	2336	79
2019-12-16	1923	96
2019-12-17	1883	84
2019-12-18	1724	83
2019-12-19	1930	79
2019-12-20	1450	73
2019-12-21	1581	89
2019-12-22	1659	87
2019-12-23	1658	76
2019-12-24	1182	28
2019-12-25	1661	78
2019-12-26	1490	62
2019-12-27	1622	52
2019-12-28	1853	43
2019-12-29	1885	40
2019-12-30	1651	90
2019-12-31	1497	30
