date	2017	2018	2019	2020
2020-06-23	1627344	1702300	1834133	1882020
2020-06-24	1518819	1960795	1819050	1964625
2020-06-25	1763560	1840083	1759925	1757591
2020-06-26	1813792	1750895	1658495	1784907
2020-06-27	1806694	1753482	1628694	1625148
2020-06-28	1755871	1763063	1580147	1853280
2020-06-29	1661011	1547250	1507659	1972280
2020-06-30	1519152	1598366	1663856	1783431
2020-07-01	1455895	1810235	1731226	1656387
2020-07-02	1728648	1659554	1700039	1787495
2020-07-03	1622860	1641593	1709804	1736357
2020-07-04	1620287	1633706	2029851	1574470
2020-07-05	1608949	1640154	1736632	1790782
2020-07-06	1675632	1763871	1726020	1993269
2020-07-07	1625009	1621190	1960161	1840251
2020-07-08	1531511	1774259	1857967	1835219
2020-07-09	1691241	1709460	1816823	1714557
2020-07-10	1708000	1819171	1754136	1617033
2020-07-11	1814032	1837880	1748374	1972497
2020-07-12	1764873	1749338	1881985	1867957
2020-07-13	1631250	1661016	1994461	1801030
2020-07-14	1596594	1533631	2065509	1762691
2020-07-15	1579092	1765780	1829213	1788843
2020-07-16	1662645	1749790	1770619	1826813
2020-07-17	1675397	1779287	1718611	1803412
2020-07-18	1613566	1779622	1728510	1913744
2020-07-19	1599257	1647820	1770178	1936324
2020-07-20	1673934	1597626	1680302	1882471
2020-07-21	1649296	1505922	1949871	1883655
2020-07-22	1533850	1810723	1811347	1718483
2020-07-23	1822809	1712304	1761967	1723330
2020-07-24	1863019	1653682	1713606	1703891
2020-07-25	1765903	1699549	1706436	1663879
2020-07-26	1773354	1719476	1654968	1910248
2020-07-27	1738746	1641076	1835048	1774746
2020-07-28	1602900	1529931	1981955	1743000
2020-07-29	1430890	1671843	1903687	1725733
2020-07-30	1548897	1647593	1885665	1693227
2020-07-31	1598093	1616055	1859613	1653067
2020-08-01	1591552	1611765	1836557	1610935
2020-08-02	1652208	1653154	1713769	1875775
2020-08-03	1661543	1575079	1734712	1962331
2020-08-04	1623468	1556837	1834476	2047389
2020-08-05	1476350	1760322	1841544	1868806
2020-08-06	1777871	1722754	1913643	1723201
2020-08-07	1714096	1669182	1820908	1656717
2020-08-08	1699757	1729265	1815080	1592377
2020-08-09	1749788	1650942	1712112	1760178
2020-08-10	1660563	1747777	1795788	1808615
2020-08-11	1727264	1580830	1830709	1792217
2020-08-12	1651620	1731597	1941008	1726551
2020-08-13	1713188	1749995	1834452	1707988
2020-08-14	1702517	1730036	1798913	1795515
2020-08-15	1673827	1712660	1758407	1792539
2020-08-16	1795745	1743105	1770220	1877083
2020-08-17	1626009	1661824	1670369	1849839
2020-08-18	1562764	1567520	1874986	1913532
2020-08-19	1651607	1803947	1879222	1844280
2020-08-20	1818135	1866554	1982195	1724387
2020-08-21	1784057	2051569	1967489	1751335
2020-08-22	1731304	1839769	1812994	1777326
2020-08-23	1689787	1775674	1738682	2003990
2020-08-24	1623871	1791062	1706697	1887406
2020-08-25	1611670	1735914	1950107	1860493
2020-08-26	1503921	1935264	1941348	1769648
2020-08-27	1709923	1826044	1936867	1770498
2020-08-28	1787022	1764072	1840168	1709481
2020-08-29	1746083	1733000	1860332	1866191
2020-08-30	1631664	1771954	1805471	2056607
2020-08-31	1660330	1690491	1704765	1815844
2020-09-01	1757585	1846429	1951804	1977318
2020-09-02	1715450	1799630	1921818	1738553
2020-09-03	1841575	1758205	1841544	1726235
2020-09-04	1682786	1809815	1801693	1689528
2020-09-05	1740437	1802455	1938076	1786236
2020-09-06	1839310	1854609	1619772	2057634
2020-09-07	1861657	1799035	2082191	2071594
2020-09-08	1723596	1748093	2110383	1993831
2020-09-09	1667165	1945157	2131020	1887064
2020-09-10	2048638	1995644	2050844	1949410
2020-09-11	2078172	2030738	2076613	1793490
2020-09-12	2101411	1977544	2036647	1816523
2020-09-13	1987224	2004775	1821892	2069329
2020-09-14	2065235	1870975	1763722	2078712
2020-09-15	1778138	1764920	2019256	2096396
2020-09-16	1869899	2009788	2131513	2014040
2020-09-17	2118549	2074900	2186044	2007603
2020-09-18	2123813	2094826	2111367	1766578
2020-09-19	2287799	2233861	2053598	1821469
2020-09-20	2151976	2016234	1898352	2060070
2020-09-21	2088181	1817666	1805317	2146527
2020-09-22	1857162	1866286	2194650	2093636
2020-09-23	2032912	2193851	2322464	2127804
2020-09-24	2302246	2162387	2326277	2051433
2020-09-25	2273104	2161942	2333109	2047955
2020-09-26	2216906	2075337	2217112	2188048
2020-09-27	1852703	1825265	2010348	2210491
2020-09-28	1861248	1780986	2119568	2699589
2020-09-29	1749643	1878534	2313265	2379501
2020-09-30	1789289	2112931	2387977	2255856
2020-10-01	2157516	2236212	2332613	2166805
2020-10-02	2211074	2265004	2776362	2007066
2020-10-03	2338807	2189720	2436747	2081057
2020-10-04	2183100	2108107	2172506	2409651
2020-10-05	2228863	1870356	2276277	2951313
2020-10-06	2105802	1814095	2435339	2619607
2020-10-07	2087831	2235281	2419734	2628884
2020-10-08	2612722	2279427	2460316	2481580
2020-10-09	2281637	2307481	2467213	2305292
2020-10-10	2572871	2245605	2330946	2247501
2020-10-11	2236329	2139821	2126789	2504751
2020-10-12	2168730	1923141	2089533	2895415
2020-10-13	1926793	1967139	2298710	2758539
2020-10-14	1765252	2390381	2459519	3216828
2020-10-15	2092315	2383770	2331930	3137112
2020-10-16	2250513	2347881	2316566	2943411
2020-10-17	2265716	2275788	2313113	2639067
2020-10-18	2271042	2392236	2065771	2788872
2020-10-19	2286445	1971009	2040469	3301144
2020-10-20	2039735	1978885	2356791	3239817
2020-10-21	2088156	2456250	2507676	3084085
2020-10-22	2424762	2476389	2594467	3120900
2020-10-23	2425646	2502730	2518327	3070474
2020-10-24	2316771	2497543	2419044	2487711
2020-10-25	2043820	2403953	2194395	2629217
2020-10-26	1925433	2113929	2681301	2538987
2020-10-27	1943113	2181677	2291980	2491914
2020-10-28	2175811	2617407	2635413	2750985
2020-10-29	2327227	2250872	2396527	2553830
2020-10-30	2356613	2446387	2446116	2570336
2020-10-31	2424293	2368413	2369812	2642741
2020-11-01	2371101	2361449	2413495	3017344
2020-11-02	2327399	2196256	2361062	3362250
2020-11-03	1997647	2173774	2723133	3534014
2020-11-04	1961777	2509234	2649384	3719199
2020-11-05	2404226	2519777	2644091	3575838
2020-11-06	2476609	2453431	2619722	3278524
2020-11-07	2495652	2416063	2598165	2742660
2020-11-08	2392705	2315321	2305380	3256197
2020-11-09	2261847	2156678	2443426	3597114
2020-11-10	1965179	2160418	2776416	3607286
2020-11-11	1977285	2493271	2683682	3472928
2020-11-12	2418023	2522373	2680647	3415129
2020-11-13	2419112	2591687	2563322	3098965
2020-11-14	2372245	3563699	2501275	2553459
2020-11-15	2206647	3124526	2230893	3087961
